"speciesName";"nederNaam";"group";"family";"genus"
"Capperia britanniodactylus";"salievedermot";"micro";"Pterophoridae";"Capperia"
"Pammene gallicolana";"galdwergbladroller";"micro";"Tortricidae";"Pammene"
"Paraswammerdamia albicapitella";"witkraagduifmot";"micro";"Yponomeutidae";"Paraswammerdamia"
"Cochylimorpha straminea";"moerasbladroller";"micro";"Tortricidae";"Cochylimorpha"
"Caryocolum marmorea";"oranje kustmot";"micro";"Gelechiidae";"Caryocolum"
"Labdia semicoccinea";"";"micro";"Cosmopterigidae";"Labdia"
"Mompha ochraceella";"gele wilgenroosjesmot";"micro";"Momphidae";"Mompha"
"Dysauxes ancilla";"dienares";"macro";"Erebidae";"Dysauxes"
"Amata phegea";"phegeavlinder";"macro";"Erebidae";"Amata"
"Tyria jacobaeae";"sint-jacobsvlinder";"macro";"Erebidae";"Tyria"
"Euplagia quadripunctaria";"spaanse vlag";"macro";"Erebidae";"Euplagia"
"Callimorpha dominula";"bonte beer";"macro";"Erebidae";"Callimorpha"
"Arctia festiva";"engelse beer";"macro";"Erebidae";"Arctia"
"Arctia villica";"roomvlek";"macro";"Erebidae";"Arctia"
"Arctia caja";"grote beer";"macro";"Erebidae";"Arctia"
"Diacrisia sannio";"roodbandbeer";"macro";"Erebidae";"Diacrisia"
"Rhyparia purpurata";"purperbeer";"macro";"Erebidae";"Rhyparia"
"Diaphora mendica";"mendicabeer";"macro";"Erebidae";"Diaphora"
"Spilosoma urticae";"sneeuwbeer";"macro";"Erebidae";"Spilosoma"
"Spilosoma lubricipeda";"witte tijger";"macro";"Erebidae";"Spilosoma"
"Spilosoma lutea";"gele tijger";"macro";"Erebidae";"Spilosoma"
"Parasemia plantaginis";"weegbreebeer";"macro";"Erebidae";"Parasemia"
"Phragmatobia fuliginosa";"kleine beer";"macro";"Erebidae";"Phragmatobia"
"Utetheisa pulchella";"prachtbeer";"macro";"Erebidae";"Utetheisa"
"Coscinia cribraria";"grasbeertje";"macro";"Erebidae";"Coscinia"
"Coscinia striata";"geel grasbeertje";"macro";"Erebidae";"Coscinia"
"Setina irrorella";"tijgerbeertje";"macro";"Erebidae";"Setina"
"Eilema sororcula";"geel beertje";"macro";"Erebidae";"Eilema"
"Eilema lutarella";"felgeel beertje";"macro";"Erebidae";"Eilema"
"Eilema pygmaeola";"klein kokerbeertje";"macro";"Erebidae";"Eilema"
"Eilema complana";"streepkokerbeertje";"macro";"Erebidae";"Eilema"
"Eilema lurideola";"plat beertje";"macro";"Erebidae";"Eilema"
"Eilema griseola";"glad beertje";"macro";"Erebidae";"Eilema"
"Eilema depressa";"naaldboombeertje";"macro";"Erebidae";"Eilema"
"Lithosia quadra";"viervlakvlinder";"macro";"Erebidae";"Lithosia"
"Atolmis rubricollis";"zwart beertje";"macro";"Erebidae";"Atolmis"
"Pelosia obtusa";"klein muisbeertje";"macro";"Erebidae";"Pelosia"
"Pelosia muscerda";"muisbeertje";"macro";"Erebidae";"Pelosia"
"Cybosia mesomella";"vierstipbeertje";"macro";"Erebidae";"Cybosia"
"Miltochrista miniata";"rozenblaadje";"macro";"Erebidae";"Miltochrista"
"Thumatha senex";"rondvleugelbeertje";"macro";"Erebidae";"Thumatha"
"Nudaria mundana";"bleek beertje";"macro";"Erebidae";"Nudaria"
"Earias vernana";"populierengroenuil";"macro";"Nolidae";"Earias"
"Earias clorana";"kleine groenuil";"macro";"Nolidae";"Earias"
"Pseudoips prasinana";"zilveren groenuil";"macro";"Nolidae";"Pseudoips"
"Bena bicolorana";"grote groenuil";"macro";"Nolidae";"Bena"
"Nycteola degenerana";"fraaie wilgenuil";"macro";"Nolidae";"Nycteola"
"Nycteola revayana";"variabele eikenuil";"macro";"Nolidae";"Nycteola"
"Nola aerugula";"licht visstaartje";"macro";"Nolidae";"Nola"
"Nola confusalis";"vroeg visstaartje";"macro";"Nolidae";"Nola"
"Nola cucullatella";"klein visstaartje";"macro";"Nolidae";"Nola"
"Meganola albula";"groot visstaartje";"macro";"Nolidae";"Meganola"
"Meganola strigula";"donker visstaartje";"macro";"Nolidae";"Meganola"
"Meganola togatulalis";"zwartlijnvisstaartje";"macro";"Nolidae";"Meganola"
"Arctornis l-nigrum";"zwarte-l-vlinder";"macro";"Erebidae";"Arctornis"
"Leucoma salicis";"satijnvlinder";"macro";"Erebidae";"Leucoma"
"Laelia coenosa";"moerasspinner";"macro";"Erebidae";"Laelia"
"Euproctis similis";"donsvlinder";"macro";"Erebidae";"Euproctis"
"Euproctis chrysorrhoea";"bastaardsatijnvlinder";"macro";"Erebidae";"Euproctis"
"Orgyia antiquoides";"heidewitvlakvlinder";"macro";"Erebidae";"Orgyia"
"Orgyia antiqua";"witvlakvlinder";"macro";"Erebidae";"Orgyia"
"Orgyia recens";"hoekstipvlinder";"macro";"Erebidae";"Orgyia"
"Dicallomera fascelina";"grauwe borstel";"macro";"Erebidae";"Dicallomera"
"Calliteara pudibunda";"meriansborstel";"macro";"Erebidae";"Calliteara"
"Lymantria dispar";"plakker";"macro";"Erebidae";"Lymantria"
"Lymantria monacha";"nonvlinder";"macro";"Erebidae";"Lymantria"
"Colocasia coryli";"hazelaaruil";"macro";"Noctuidae";"Colocasia"
"Panthea coenobita";"schijn-nonvlinder";"macro";"Noctuidae";"Panthea"
"Agrotis cinerea";"grijze worteluil";"macro";"Noctuidae";"Agrotis"
"Agrotis vestigialis";"bonte worteluil";"macro";"Noctuidae";"Agrotis"
"Agrotis segetum";"gewone velduil";"macro";"Noctuidae";"Agrotis"
"Agrotis clavis";"geoogde worteluil";"macro";"Noctuidae";"Agrotis"
"Agrotis exclamationis";"gewone worteluil";"macro";"Noctuidae";"Agrotis"
"Agrotis trux";"zuidelijke worteluil";"macro";"Noctuidae";"Agrotis"
"Agrotis ipsilon";"grote worteluil";"macro";"Noctuidae";"Agrotis"
"Agrotis puta";"puta-uil";"macro";"Noctuidae";"Agrotis"
"Agrotis ripae";"duinworteluil";"macro";"Noctuidae";"Agrotis"
"Euxoa cursoria";"variabele worteluil";"macro";"Noctuidae";"Euxoa"
"Euxoa obelisca";"zwartvlakworteluil";"macro";"Noctuidae";"Euxoa"
"Euxoa tritici";"graanworteluil";"macro";"Noctuidae";"Euxoa"
"Euxoa nigricans";"rookkleurige worteluil";"macro";"Noctuidae";"Euxoa"
"Euxoa aquilina";"gekamde graanworteluil";"macro";"Noctuidae";"Euxoa"
"Euxoa lidia";"witvlekworteluil";"macro";"Noctuidae";"Euxoa"
"Actebia praecox";"slanke groenuil";"macro";"Noctuidae";"Actebia"
"Peridroma saucia";"blauwvleugeluil";"macro";"Noctuidae";"Peridroma"
"Protolampra sobrina";"moerasheide-aarduil";"macro";"Noctuidae";"Protolampra"
"Anaplectoides prasina";"bruine groenuil";"macro";"Noctuidae";"Anaplectoides"
"Naenia typica";"splinterstreep";"macro";"Noctuidae";"Naenia"
"Cerastis leucographa";"witringuil";"macro";"Noctuidae";"Cerastis"
"Cerastis rubricosa";"rode vlekkenuil";"macro";"Noctuidae";"Cerastis"
"Coenophila subrosea";"hoogveenaarduil";"macro";"Noctuidae";"Coenophila"
"Eugraphe sigma";"sigma-uil";"macro";"Noctuidae";"Eugraphe"
"Xestia agathina";"late heide-uil";"macro";"Noctuidae";"Xestia"
"Xestia xanthographa";"vierkantvlekuil";"macro";"Noctuidae";"Xestia"
"Xestia sexstrigata";"zesstreepuil";"macro";"Noctuidae";"Xestia"
"Xestia castanea";"kastanjebruine uil";"macro";"Noctuidae";"Xestia"
"Xestia baja";"bruine zwartstipuil";"macro";"Noctuidae";"Xestia"
"Xestia triangulum";"driehoekuil";"macro";"Noctuidae";"Xestia"
"Xestia ditrapezium";"trapeziumuil";"macro";"Noctuidae";"Xestia"
"Xestia c-nigrum";"zwarte-c-uil";"macro";"Noctuidae";"Xestia"
"Graphiphora augur";"dubbelpijl-uil";"macro";"Noctuidae";"Graphiphora"
"Opigena polygona";"veelhoekaarduil";"macro";"Noctuidae";"Opigena"
"Spaelotis ravida";"donkere aarduil";"macro";"Noctuidae";"Spaelotis"
"Eurois occulta";"grote bosbesuil";"macro";"Noctuidae";"Eurois"
"Eugnorisma glareosa";"grijze herfstuil";"macro";"Noctuidae";"Eugnorisma"
"Rhyacia lucipeta";"grote bruine grasuil";"macro";"Noctuidae";"Rhyacia"
"Rhyacia simulans";"bruine grasuil";"macro";"Noctuidae";"Rhyacia"
"Lycophotia porphyrea";"granietuil";"macro";"Noctuidae";"Lycophotia"
"Lycophotia molothina";"grijze heideuil";"macro";"Noctuidae";"Lycophotia"
"Noctua interjecta";"kleine huismoeder";"macro";"Noctuidae";"Noctua"
"Noctua janthe";"open-breedbandhuismoeder";"macro";"Noctuidae";"Noctua"
"Noctua janthina";"kleine breedbandhuismoeder";"macro";"Noctuidae";"Noctua"
"Noctua fimbriata";"breedbandhuismoeder";"macro";"Noctuidae";"Noctua"
"Noctua comes";"volgeling";"macro";"Noctuidae";"Noctua"
"Noctua orbona";"zwartpuntvolgeling";"macro";"Noctuidae";"Noctua"
"Noctua pronuba";"huismoeder";"macro";"Noctuidae";"Noctua"
"Diarsia rubi";"gewone breedvleugeluil";"macro";"Noctuidae";"Diarsia"
"Diarsia brunnea";"bruine breedvleugeluil";"macro";"Noctuidae";"Diarsia"
"Diarsia dahlii";"moerasbreedvleugeluil";"macro";"Noctuidae";"Diarsia"
"Diarsia mendica";"variabele breedvleugeluil";"macro";"Noctuidae";"Diarsia"
"Ochropleura plecta";"haarbos";"macro";"Noctuidae";"Ochropleura"
"Axylia putris";"houtspaander";"macro";"Noctuidae";"Axylia"
"Pachetra sagittigera";"gevlekte pijluil";"macro";"Noctuidae";"Pachetra"
"Tholera decimalis";"gelijnde grasuil";"macro";"Noctuidae";"Tholera"
"Tholera cespitis";"donkere grasuil";"macro";"Noctuidae";"Tholera"
"Cerapteryx graminis";"bonte grasuil";"macro";"Noctuidae";"Cerapteryx"
"Egira conspicillaris";"brildrager";"macro";"Noctuidae";"Egira"
"Panolis flammea";"dennenuil";"macro";"Noctuidae";"Panolis"
"Anorthoa munda";"dubbelstipvoorjaarsuil";"macro";"Noctuidae";"Anorthoa"
"Orthosia gracilis";"sierlijke voorjaarsuil";"macro";"Noctuidae";"Orthosia"
"Orthosia cerasi";"tweestreepvoorjaarsuil";"macro";"Noctuidae";"Orthosia"
"Orthosia populeti";"populierenvoorjaarsuil";"macro";"Noctuidae";"Orthosia"
"Orthosia opima";"bandvoorjaarsuil";"macro";"Noctuidae";"Orthosia"
"Orthosia miniosa";"eikenvoorjaarsuil";"macro";"Noctuidae";"Orthosia"
"Orthosia cruda";"kleine voorjaarsuil";"macro";"Noctuidae";"Orthosia"
"Orthosia gothica";"nunvlinder";"macro";"Noctuidae";"Orthosia"
"Orthosia incerta";"variabele voorjaarsuil";"macro";"Noctuidae";"Orthosia"
"Mythimna unipuncta";"eenstipgrasuil";"macro";"Noctuidae";"Mythimna"
"Leucania loreyi";"kosmopoliet";"macro";"Noctuidae";"Leucania"
"Mythimna sicula";"wortelstreepgrasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna l-album";"witte-l-uil";"macro";"Noctuidae";"Mythimna"
"Mythimna litoralis";"helmgrasuil";"macro";"Noctuidae";"Mythimna"
"Senta flammea";"gevlamde rietuil";"macro";"Noctuidae";"Senta"
"Leucania comma";"komma-uil";"macro";"Noctuidae";"Leucania"
"Leucania obsoleta";"gestreepte rietuil";"macro";"Noctuidae";"Leucania"
"Mythimna favicolor";"pseudo-bleke grasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna pallens";"bleke grasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna impura";"stompvleugelgrasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna straminea";"spitsvleugelgrasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna pudorina";"grijze grasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna vitellina";"zuidelijke grasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna albipuncta";"witstipgrasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna ferrago";"gekraagde grasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna conigera";"eenstreepgrasuil";"macro";"Noctuidae";"Mythimna"
"Mythimna turca";"tweestreepgrasuil";"macro";"Noctuidae";"Mythimna"
"Polia nebulosa";"marmeruil";"macro";"Noctuidae";"Polia"
"Polia hepatica";"gerande marmeruil";"macro";"Noctuidae";"Polia"
"Polia bombycina";"bruine heide-uil";"macro";"Noctuidae";"Polia"
"Papestra biren";"heide-schaaruil";"macro";"Noctuidae";"Papestra"
"Mamestra brassicae";"kooluil";"macro";"Noctuidae";"Mamestra"
"Ceramica pisi";"erwtenuil";"macro";"Noctuidae";"Ceramica"
"Melanchra persicariae";"perzikkruiduil";"macro";"Noctuidae";"Melanchra"
"Sideridis reticulata";"gelijnde silene-uil";"macro";"Noctuidae";"Sideridis"
"Sideridis turbida";"tandjesuil";"macro";"Noctuidae";"Sideridis"
"Hadena irregularis";"oorsilene-uil";"macro";"Noctuidae";"Hadena"
"Hadena perplexa";"variabele silene-uil";"macro";"Noctuidae";"Hadena"
"Sideridis rivularis";"gevorkte silene-uil";"macro";"Noctuidae";"Sideridis"
"Hadena albimacula";"witvlek-silene-uil";"macro";"Noctuidae";"Hadena"
"Hadena confusa";"gevlekte silene-uil";"macro";"Noctuidae";"Hadena"
"Hadena compta";"witband-silene-uil";"macro";"Noctuidae";"Hadena"
"Hadena bicruris";"gewone silene-uil";"macro";"Noctuidae";"Hadena"
"Hecatera bicolorata";"tweekleurige uil";"macro";"Noctuidae";"Hecatera"
"Hecatera dysodea";"kompassla-uil";"macro";"Noctuidae";"Hecatera"
"Hada plebeja";"schaaruil";"macro";"Noctuidae";"Hada"
"Lacanobia suasa";"variabele w-uil";"macro";"Noctuidae";"Lacanobia"
"Lacanobia contigua";"geoogde w-uil";"macro";"Noctuidae";"Lacanobia"
"Lacanobia thalassina";"w-uil";"macro";"Noctuidae";"Lacanobia"
"Lacanobia oleracea";"groente-uil";"macro";"Noctuidae";"Lacanobia"
"Lacanobia splendens";"moeras-w-uil";"macro";"Noctuidae";"Lacanobia"
"Lacanobia w-latinum";"brede-w-uil";"macro";"Noctuidae";"Lacanobia"
"Anarta myrtilli";"roodbont heide-uiltje";"macro";"Noctuidae";"Anarta"
"Anarta trifolii";"spurrie-uil";"macro";"Noctuidae";"Anarta"
"Coenobia rufa";"russenuil";"macro";"Noctuidae";"Coenobia"
"Protarchanara brevilinea";"stippelrietboorder";"macro";"Noctuidae";"Protarchanara"
"Longalatedes elymi";"zandhaverboorder";"macro";"Noctuidae";"Longalatedes"
"Denticucullus pygmina";"zeggeboorder";"macro";"Noctuidae";"Denticucullus"
"Photedes fluxa";"gele duinrietboorder";"macro";"Noctuidae";"Photedes"
"Photedes extrema";"vale duinrietboorder";"macro";"Noctuidae";"Photedes"
"Arenostola phragmitidis";"egale rietboorder";"macro";"Noctuidae";"Arenostola"
"Sedina buettneri";"moeraszeggeboorder";"macro";"Noctuidae";"Sedina"
"Globia algae";"moerasplantenboorder";"macro";"Noctuidae";"Globia"
"Globia sparganii";"egelskopboorder";"macro";"Noctuidae";"Globia"
"Archanara dissoluta";"geelbruine rietboorder";"macro";"Noctuidae";"Archanara"
"Archanara neurica";"witkraagrietboorder";"macro";"Noctuidae";"Archanara"
"Lenisa geminipuncta";"gestippelde rietboorder";"macro";"Noctuidae";"Lenisa"
"Phragmatiphila nexa";"liesgrasboorder";"macro";"Noctuidae";"Phragmatiphila"
"Nonagria typhae";"lisdoddeboorder";"macro";"Noctuidae";"Nonagria"
"Helotropha leucostigma";"gele lis-boorder";"macro";"Noctuidae";"Helotropha"
"Celaena haworthii";"wollegras-uil";"macro";"Noctuidae";"Celaena"
"Calamia tridens";"groene weide-uil";"macro";"Noctuidae";"Calamia"
"Gortyna flavago";"goudgele boorder";"macro";"Noctuidae";"Gortyna"
"Hydraecia petasitis";"groot-hoefbladboorder";"macro";"Noctuidae";"Hydraecia"
"Hydraecia micacea";"aardappelstengelboorder";"macro";"Noctuidae";"Hydraecia"
"Amphipoea lucens";"hoogveenvlekuil";"macro";"Noctuidae";"Amphipoea"
"Amphipoea fucosa";"geelbruine vlekuil";"macro";"Noctuidae";"Amphipoea"
"Amphipoea oculea";"roodbruine vlekuil";"macro";"Noctuidae";"Amphipoea"
"Rhizedra lutosa";"herfst-rietboorder";"macro";"Noctuidae";"Rhizedra"
"Fabula zollikoferi";"oostelijke uil";"macro";"Noctuidae";"Fabula"
"Luperina testacea";"gewone grasuil";"macro";"Noctuidae";"Luperina"
"Eremobia ochroleuca";"gevlamde grasuil";"macro";"Noctuidae";"Eremobia"
"Photedes minima";"bochtige smele-uil";"macro";"Noctuidae";"Photedes"
"Mesapamea secalella";"weidehalmuiltje";"macro";"Noctuidae";"Mesapamea"
"Mesapamea secalis";"halmrupsvlinder";"macro";"Noctuidae";"Mesapamea"
"Litoligia literosa";"duinhalmuiltje";"macro";"Noctuidae";"Litoligia"
"Mesoligia furuncula";"zandhalmuiltje";"macro";"Noctuidae";"Mesoligia"
"Oligia fasciuncula";"oranjegeel halmuiltje";"macro";"Noctuidae";"Oligia"
"Oligia latruncula";"donker halmuiltje";"macro";"Noctuidae";"Oligia"
"Oligia versicolor";"bont halmuiltje";"macro";"Noctuidae";"Oligia"
"Oligia strigilis";"gelobd halmuiltje";"macro";"Noctuidae";"Oligia"
"Lateroligia ophiogramma";"moeras-grasuil";"macro";"Noctuidae";"Lateroligia"
"Apamea scolopacina";"bosgrasuil";"macro";"Noctuidae";"Apamea"
"Apamea sordens";"kweekgrasuil";"macro";"Noctuidae";"Apamea"
"Apamea anceps";"veldgrasuil";"macro";"Noctuidae";"Apamea"
"Apamea illyria";"tweekleurige grasuil";"macro";"Noctuidae";"Apamea"
"Apamea unanimis";"rietgrasuil";"macro";"Noctuidae";"Apamea"
"Apamea remissa";"grauwe grasuil";"macro";"Noctuidae";"Apamea"
"Apamea oblonga";"zeeuwse grasworteluil";"macro";"Noctuidae";"Apamea"
"Apamea furva";"schapengrasuil";"macro";"Noctuidae";"Apamea"
"Apamea lateritia";"steenrode grasuil";"macro";"Noctuidae";"Apamea"
"Apamea aquila";"pijpenstro-uil";"macro";"Noctuidae";"Apamea"
"Apamea epomidion";"zwartrandgrasuil";"macro";"Noctuidae";"Apamea"
"Apamea crenata";"variabele grasuil";"macro";"Noctuidae";"Apamea"
"Apamea sublustris";"okergele grasuil";"macro";"Noctuidae";"Apamea"
"Apamea lithoxylaea";"bleke grasworteluil";"macro";"Noctuidae";"Apamea"
"Apamea monoglypha";"graswortelvlinder";"macro";"Noctuidae";"Apamea"
"Mniotype adusta";"adusta-uil";"macro";"Noctuidae";"Mniotype"
"Mniotype satura";"roestuil";"macro";"Noctuidae";"Mniotype"
"Crypsedra gemmea";"bruine granietuil";"macro";"Noctuidae";"Crypsedra"
"Polymixis flavicincta";"gele granietuil";"macro";"Noctuidae";"Polymixis"
"Polymixis lichenea";"kustuil";"macro";"Noctuidae";"Polymixis"
"Ammoconia caecimacula";"nazomeruil";"macro";"Noctuidae";"Ammoconia"
"Antitype chi";"chi-uil";"macro";"Noctuidae";"Antitype"
"Dryobotodes eremita";"eikenuiltje";"macro";"Noctuidae";"Dryobotodes"
"Griposia aprilina";"diana-uil";"macro";"Noctuidae";"Griposia"
"Allophyes oxyacanthae";"meidoornuil";"macro";"Noctuidae";"Allophyes"
"Xylocampa areola";"kamperfoelie-uil";"macro";"Noctuidae";"Xylocampa"
"Xylena exsoleta";"roetvlek";"macro";"Noctuidae";"Xylena"
"Xylena vetusta";"houtkleurige vlinder";"macro";"Noctuidae";"Xylena"
"Lithophane leautieri";"coniferenuil";"macro";"Noctuidae";"Lithophane"
"Lithophane lamda";"gageluil";"macro";"Noctuidae";"Lithophane"
"Lithophane furcifera";"kleine manteluil";"macro";"Noctuidae";"Lithophane"
"Lithophane ornitopus";"lichtgrijze uil";"macro";"Noctuidae";"Lithophane"
"Lithophane socia";"geelbruine houtuil";"macro";"Noctuidae";"Lithophane"
"Lithophane semibrunnea";"bruine essenuil";"macro";"Noctuidae";"Lithophane"
"Xylena solidaginis";"bruine bosbesuil";"macro";"Noctuidae";"Xylena"
"Aporophyla nigra";"zwarte witvleugeluil";"macro";"Noctuidae";"Aporophyla"
"Aporophyla lueneburgensis";"heidewitvleugeluil";"macro";"Noctuidae";"Aporophyla"
"Aporophyla lutulenta";"bruine witvleugeluil";"macro";"Noctuidae";"Aporophyla"
"Aporophyla australis";"geveerde witvleugeluil";"macro";"Noctuidae";"Aporophyla"
"Brachylomia viminalis";"katwilguiltje";"macro";"Noctuidae";"Brachylomia"
"Dasypolia templi";"harige winteruil";"macro";"Noctuidae";"Dasypolia"
"Conistra erythrocephala";"roodkopwinteruil";"macro";"Noctuidae";"Conistra"
"Conistra rubiginea";"gevlekte winteruil";"macro";"Noctuidae";"Conistra"
"Conistra rubiginosa";"zwartvlekwinteruil";"macro";"Noctuidae";"Conistra"
"Conistra ligula";"donkere winteruil";"macro";"Noctuidae";"Conistra"
"Conistra vaccinii";"bosbesuil";"macro";"Noctuidae";"Conistra"
"Jodia croceago";"wintergouduil";"macro";"Noctuidae";"Jodia"
"Eupsilia transversa";"wachtervlinder";"macro";"Noctuidae";"Eupsilia"
"Xanthia ruticilla";"vroege eikenuil";"macro";"Noctuidae";"Xanthia"
"Agrochola lunosa";"maansikkeluil";"macro";"Noctuidae";"Agrochola"
"Agrochola litura";"zwartgevlekte herfstuil";"macro";"Noctuidae";"Agrochola"
"Agrochola helvola";"roodachtige herfstuil";"macro";"Noctuidae";"Agrochola"
"Agrochola nitida";"roodbruine herfstuil";"macro";"Noctuidae";"Agrochola"
"Agrochola macilenta";"geelbruine herfstuil";"macro";"Noctuidae";"Agrochola"
"Agrochola lota";"zwartstipvlinder";"macro";"Noctuidae";"Agrochola"
"Agrochola circellaris";"bruine herfstuil";"macro";"Noctuidae";"Agrochola"
"Agrochola lychnidis";"variabele herfstuil";"macro";"Noctuidae";"Agrochola"
"Tiliacea citrago";"lindegouduil";"macro";"Noctuidae";"Tiliacea"
"Xanthia ocellaris";"populierengouduil";"macro";"Noctuidae";"Xanthia"
"Xanthia gilvago";"iepengouduil";"macro";"Noctuidae";"Xanthia"
"Xanthia icteritia";"gewone gouduil";"macro";"Noctuidae";"Xanthia"
"Tiliacea aurago";"saffraangouduil";"macro";"Noctuidae";"Tiliacea"
"Xanthia togata";"wilgengouduil";"macro";"Noctuidae";"Xanthia"
"Atethmia centrago";"essengouduil";"macro";"Noctuidae";"Atethmia"
"Cosmia trapezina";"hyena";"macro";"Noctuidae";"Cosmia"
"Cosmia pyralina";"maanuiltje";"macro";"Noctuidae";"Cosmia"
"Cosmia affinis";"donkere iepenuil";"macro";"Noctuidae";"Cosmia"
"Cosmia diffinis";"iepenuil";"macro";"Noctuidae";"Cosmia"
"Dicycla oo";"nullenuil";"macro";"Noctuidae";"Dicycla"
"Mesogona oxalina";"hoeklijnuil";"macro";"Noctuidae";"Mesogona"
"Apterogenum ypsillon";"wilgenschorsvlinder";"macro";"Noctuidae";"Apterogenum"
"Parastichtis suspecta";"populierenuil";"macro";"Noctuidae";"Parastichtis"
"Enargia paleacea";"gele uil";"macro";"Noctuidae";"Enargia"
"Ipimorpha subtusa";"tweekleurige heremietuil";"macro";"Noctuidae";"Ipimorpha"
"Ipimorpha retusa";"heremietuil";"macro";"Noctuidae";"Ipimorpha"
"Callopistria juventina";"varenuil";"macro";"Noctuidae";"Callopistria"
"Chloantha hyperici";"sint-janskruiduil";"macro";"Noctuidae";"Chloantha"
"Actinotia polyodon";"gevlamde uil";"macro";"Noctuidae";"Actinotia"
"Hyppa rectilinea";"zwartstreepuil";"macro";"Noctuidae";"Hyppa"
"Phlogophora meticulosa";"agaatvlinder";"macro";"Noctuidae";"Phlogophora"
"Euplexia lucipara";"levervlek";"macro";"Noctuidae";"Euplexia"
"Trachea atriplicis";"meldevlinder";"macro";"Noctuidae";"Trachea"
"Thalpophila matura";"geelvleugeluil";"macro";"Noctuidae";"Thalpophila"
"Mormo maura";"zwart weeskind";"macro";"Noctuidae";"Mormo"
"Charanyca ferruginea";"randvlekuil";"macro";"Noctuidae";"Charanyca"
"Dypterygia scabriuscula";"vogelwiekje";"macro";"Noctuidae";"Dypterygia"
"Athetis pallustris";"moerasspirea-uil";"macro";"Noctuidae";"Athetis"
"Athetis gluteosa";"bleke stofuil";"macro";"Noctuidae";"Athetis"
"Chilodes maritima";"smalvleugelrietboorder";"macro";"Noctuidae";"Chilodes"
"Spodoptera exigua";"florida-uil";"macro";"Noctuidae";"Spodoptera"
"Charanyca trigrammica";"drielijnuil";"macro";"Noctuidae";"Charanyca"
"Hoplodrina ambigua";"zuidelijke stofuil";"macro";"Noctuidae";"Hoplodrina"
"Hoplodrina respersa";"grijze stofuil";"macro";"Noctuidae";"Hoplodrina"
"Hoplodrina blanda";"egale stofuil";"macro";"Noctuidae";"Hoplodrina"
"Hoplodrina octogenaria";"gewone stofuil";"macro";"Noctuidae";"Hoplodrina"
"Caradrina clavipalpis";"huisuil";"macro";"Noctuidae";"Caradrina"
"Caradrina selini";"zandstofuil";"macro";"Noctuidae";"Caradrina"
"Caradrina morpheus";"morpheusstofuil";"macro";"Noctuidae";"Caradrina"
"Elaphria venustula";"gemarmerd heide-uiltje";"macro";"Noctuidae";"Elaphria"
"Periphanes delphinii";"ridderspooruil";"macro";"Noctuidae";"Periphanes"
"Pyrrhia umbra";"oranje o-vlinder";"macro";"Noctuidae";"Pyrrhia"
"Helicoverpa armigera";"katoendaguil";"macro";"Noctuidae";"Helicoverpa"
"Heliothis nubigera";"bleke daguil";"macro";"Noctuidae";"Heliothis"
"Heliothis peltigera";"vlekdaguil";"macro";"Noctuidae";"Heliothis"
"Heliothis maritima";"heidedaguil";"macro";"Noctuidae";"Heliothis"
"Heliothis viriplaca";"lichte daguil";"macro";"Noctuidae";"Heliothis"
"Protoschinia scutosa";"bonte daguil";"macro";"Noctuidae";"Protoschinia"
"Synthymia fixa";"gouden daguil";"macro";"Noctuidae";"Synthymia"
"Panemeria tenebrata";"dwerghuismoeder";"macro";"Noctuidae";"Panemeria"
"Diloba caeruleocephala";"krakeling";"macro";"Noctuidae";"Diloba"
"Brachionycha nubeculosa";"harige voorjaarsuil";"macro";"Noctuidae";"Brachionycha"
"Asteroscopus sphinx";"kromzitter";"macro";"Noctuidae";"Asteroscopus"
"Amphipyra tragopoginis";"boksbaardvlinder";"macro";"Noctuidae";"Amphipyra"
"Amphipyra perflua";"grote piramidevlinder";"macro";"Noctuidae";"Amphipyra"
"Amphipyra berbera";"schijn-piramidevlinder";"macro";"Noctuidae";"Amphipyra"
"Amphipyra pyramidea";"piramidevlinder";"macro";"Noctuidae";"Amphipyra"
"Calliergis ramosa";"zuidelijke kamperfoelie-uil";"macro";"Noctuidae";"Calliergis"
"Calophasia lunula";"vlasbekuiltje";"macro";"Noctuidae";"Calophasia"
"Cucullia verbasci";"kuifvlinder";"macro";"Noctuidae";"Cucullia"
"Cucullia scrophulariae";"helmkruidvlinder";"macro";"Noctuidae";"Cucullia"
"Cucullia asteris";"astermonnik";"macro";"Noctuidae";"Cucullia"
"Cucullia chamomillae";"kamillevlinder";"macro";"Noctuidae";"Cucullia"
"Cucullia umbratica";"grauwe monnik";"macro";"Noctuidae";"Cucullia"
"Cucullia artemisiae";"bijvoetmonnik";"macro";"Noctuidae";"Cucullia"
"Cucullia absinthii";"absintmonnik";"macro";"Noctuidae";"Cucullia"
"Cucullia fraudatrix";"oostelijke monnik";"macro";"Noctuidae";"Cucullia"
"Trisateles emortualis";"geellijnsnuituil";"macro";"Erebidae";"Trisateles"
